
  ==========================================
  Studio Pro version: 9.6.8
  Started at: 11/16/2023, 10:05:36 AM
  ==========================================
  

[2023-11-16T16:10:31.782Z] : [warn]: There is a small amount of free memory (RAM) left, 91.17% of RAM is being used (7241 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-16T16:16:01.823Z] : [warn]: There is a small amount of free memory (RAM) left, 90.73% of RAM is being used (7206 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-16T16:19:01.840Z] : [warn]: There is a small amount of free memory (RAM) left, 92.41% of RAM is being used (7339 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-16T16:21:01.816Z] : [warn]: There is a small amount of free memory (RAM) left, 90.03% of RAM is being used (7150 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-16T16:25:01.837Z] : [warn]: There is a small amount of free memory (RAM) left, 90.92% of RAM is being used (7221 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-16T21:38:15.938Z] : [warn]: There is a small amount of free memory (RAM) left, 92.5% of RAM is being used (7346 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-16T21:40:31.770Z] : [warn]: There is a small amount of free memory (RAM) left, 96.69% of RAM is being used (7679 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-16T21:42:01.841Z] : [warn]: There is a small amount of free memory (RAM) left, 92.87% of RAM is being used (7376 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-11-16T21:43:01.816Z] : [warn]: There is a small amount of free memory (RAM) left, 91.48% of RAM is being used (7265 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

